자치구,18_화재건수,18_사망,18_부상,18_인명피해 계,18_부동산피해(천원),18_동산피해(천원),18_재산피해(천원),18_재산피해/건당(천원),19_화재건수,19_사망,19_부상,19_인명피해 계,19_부동산피해(천원),19_동산피해(천원),19_재산피해(천원),19_재산피해/건당(천원),20_화재건수,20_사망,20_부상,20_인명피해 계,20_부동산피해(천원),20_동산피해(천원),20_재산피해(천원),20_재산피해/건당(천원),21_화재건수,21_사망,21_부상,21_인명피해 계,21_부동산피해(천원),21_동산피해(천원),21_재산피해(천원),21_재산피해/건당(천원),22_화재건수,22_사망,22_부상,22_인명피해 계,22_부동산피해(천원),22_동산피해(천원),22_재산피해(천원),22_재산피해/건당(천원),23_화재건수,23_사망,23_부상,23_인명피해 계,23_부동산피해(천원),23_동산피해(천원),23_재산피해(천원),23_재산피해/건당(천원)
서울시,6368,53,307,360,5478877,15761107,21239984,3335,5881,37,361,398,12331390,80077620,92409010,15713,5088,37,236,273,7298842,10139764,17438606,3427,4951,37,280,317,6872172,11396174,18268346,3690,5396,37,325,362,6614971,9977580,16592551,3075,5671,24,283,307,6954032,9585882,16539914,2917
강남구,436,0,23,23,670429,954554,1624983,3727,456,1,23,24,900260,777421,1677681,3679,387,1,18,19,923684,527872,1451556,3751,391,2,15,17,612282,742667,1354949,3465,437,0,17,17,874519,1049205,1923724,4402,422,0,10,10,1129051,1638905,2767956,6559
강동구,324,4,15,19,236181,304444,540625,1669,254,1,10,11,166909,366450,533359,2100,221,3,19,22,155078,208761,363839,1646,211,1,12,13,100171,246570,346741,1643,194,1,25,26,300126,507460,807586,4163,171,1,4,5,144166,537791,681957,3988
강북구,203,4,2,6,104658,112180,216838,1068,167,1,9,10,76389,141416,217805,1304,186,1,5,6,99841,108539,208380,1120,146,5,14,19,211977,198228,410205,2810,155,1,13,14,178589,154874,333463,2151,200,2,8,10,160192,341879,502071,2510
강서구,383,2,18,20,196115,197286,393401,1027,331,0,24,24,251606,414691,666297,2013,212,3,5,8,91566,109400,200966,948,223,2,12,14,196597,363017,559614,2509,223,4,11,15,194604,350412,545016,2444,274,0,5,5,180255,343198,523453,1910
관악구,337,1,20,21,395475,421087,816562,2423,311,3,6,9,312837,341749,654586,2105,219,2,15,17,249984,396165,646149,2950,259,2,17,19,289865,272429,562294,2171,305,1,17,18,155294,182055,337349,1106,281,2,14,16,183301,286672,469973,1673
광진구,203,0,7,7,315690,342495,658185,3242,195,0,8,8,145574,247269,392843,2015,186,0,4,4,199281,167433,366714,1972,205,2,10,12,184833,704848,889681,4340,145,0,7,7,172347,311939,484286,3340,193,0,4,4,130724,223994,354718,1838
구로구,263,2,3,5,74308,165019,239327,910,247,0,7,7,157597,254232,411829,1667,156,2,6,8,208681,189678,398359,2554,173,1,7,8,883333,882256,1765589,10206,222,0,5,5,139453,284679,424132,1911,200,2,9,11,348200,372557,720757,3604
금천구,168,0,8,8,55351,148455,203806,1213,141,0,4,4,178251,493516,671767,4764,127,2,9,11,256259,163328,419587,3304,118,2,8,10,170912,654343,825255,6994,214,1,14,15,467717,467075,934792,4368,192,1,5,6,135304,495277,630581,3284
노원구,229,2,10,12,105994,225006,331000,1445,203,0,6,6,44268,141374,185642,914,172,0,11,11,133610,250312,383922,2232,173,1,12,13,231336,201269,432605,2501,169,3,4,7,199302,177013,376315,2227,198,0,15,15,156155,306845,463000,2338
도봉구,237,0,8,8,85113,116385,201498,850,179,3,8,11,424291,344157,768448,4293,163,0,7,7,184209,307100,491309,3014,140,0,6,6,146778,73138,219916,1571,159,2,11,13,156102,122918,279020,1755,179,3,39,42,150721,97813,248534,1388
동대문구,203,1,3,4,179873,529614,709487,3495,195,5,21,26,233398,636944,870342,4463,152,6,17,23,543066,2849492,3392558,22319,155,3,15,18,281555,927986,1209541,7803,173,2,12,14,264662,537565,802227,4637,158,2,11,13,113930,136731,250661,1586
동작구,205,4,9,13,103520,209405,312925,1526,208,2,10,12,86519,92724,179243,862,151,0,7,7,81609,112642,194251,1286,129,3,9,12,100290,207075,307365,2383,187,1,17,18,114330,100308,214638,1148,167,1,18,19,209493,156163,365656,2190
마포구,254,2,4,6,132459,150525,282984,1114,246,0,13,13,163683,229742,393425,1599,240,3,29,32,1349817,719232,2069049,8621,242,2,7,9,229022,362665,591687,2445,250,1,14,15,273997,364238,638235,2553,271,2,5,7,571621,432362,1003983,3705
서대문구,229,4,9,13,236471,7641030,7877501,34400,269,1,12,13,109764,111196,220960,821,220,3,4,7,507160,421825,928985,4223,262,0,7,7,122287,127441,249728,953,223,2,7,9,248014,248808,496822,2228,209,0,12,12,501586,246750,748336,3581
서초구,242,0,15,15,201149,646918,848067,3504,242,2,42,44,300794,669453,970247,4009,240,1,10,11,234894,320455,555349,2314,231,0,9,9,213184,336623,549807,2380,216,0,13,13,146170,260117,406287,1881,239,1,7,8,85947,234493,320440,1341
성동구,212,0,12,12,162939,453146,616085,2906,194,2,7,9,119319,604898,724217,3733,187,0,2,2,126408,381419,507827,2716,191,0,5,5,156128,302284,458412,2400,215,1,10,11,313315,772268,1085583,5049,199,0,3,3,153973,377741,531714,2672
성북구,215,0,10,10,184258,303307,487565,2268,191,0,10,10,241464,222877,464341,2431,173,0,11,11,187204,474351,661555,3824,168,4,46,50,303121,190110,493231,2936,158,1,13,14,131717,206826,338543,2143,246,0,8,8,149697,256087,405784,1650
송파구,340,0,28,28,390994,579257,970251,2854,335,2,19,21,330243,628586,958829,2862,307,1,7,8,184717,194960,379677,1237,263,1,5,6,228466,559823,788289,2997,350,1,12,13,490790,552504,1043294,2981,382,3,7,10,467104,427311,894415,2341
양천구,219,1,11,12,136819,220750,357569,1633,163,2,7,9,107052,358668,465720,2857,153,0,4,4,86760,128656,215416,1408,151,2,3,5,192645,383449,576094,3815,159,0,6,6,182185,184376,366561,2305,162,0,11,11,183475,276400,459875,2839
영등포구,258,4,23,27,228065,476128,704193,2729,265,1,48,49,344748,2755206,3099954,11698,225,3,8,11,279030,395766,674796,2999,208,0,8,8,529638,384060,913698,4393,249,5,21,26,440327,383111,823438,3307,348,2,33,35,600605,1080588,1681193,4831
용산구,211,1,6,7,123288,271615,394903,1872,238,0,5,5,100283,167582,267865,1125,192,0,5,5,64235,205600,269835,1405,176,0,5,5,123439,173354,296793,1686,207,2,8,10,96719,174033,270752,1308,219,1,2,3,94097,200036,294133,1343
은평구,214,5,10,15,217662,201841,419503,1960,196,3,20,23,1901761,511008,2412769,12310,192,2,6,8,270762,234026,504788,2629,160,3,8,11,340436,535286,875722,5473,217,1,16,17,191089,418696,609785,2810,248,0,7,7,140798,132289,273087,1101
종로구,254,14,22,36,279955,294345,574300,2261,232,4,16,20,403054,398040,801094,3453,217,2,5,7,192633,447118,639751,2948,192,0,12,12,169588,295911,465499,2424,191,2,10,12,151976,120230,272206,1425,201,1,13,14,215173,207996,423169,2105
중구,275,0,23,23,558830,698175,1257005,4571,213,3,17,20,5135961,68941136,74077097,347780,185,0,10,10,573942,710480,1284422,6943,171,0,16,16,686265,2094109,2780374,16259,190,2,22,24,551299,1849855,2401154,12638,137,0,12,12,620179,532617,1152796,8415
중랑구,254,2,8,10,103281,98140,201421,793,210,1,9,10,95365,227285,322650,1536,225,2,12,14,114412,115154,229566,1020,213,1,12,13,168024,177233,345257,1621,188,3,20,23,180328,197015,377343,2007,175,0,21,21,128285,243387,371672,2124